coach,team,year_w_team,season
Johnny Davis,MEM,1,2008-2009
Lionel Hollins,MEM,3,2008-2009
Erik Spoelstra,MIA,1,2008-2009
Scott Skiles,MIL,1,2008-2009
Randy Wittman,MIN,3,2008-2009
Kevin McHale,MIN,2,2008-2009
Lawrence Frank,NJN,6,2008-2009
Byron Scott,NOH,5,2008-2009
Mike D'Antoni,NYK,1,2008-2009
P.J. Carlesimo,OKC,2,2008-2009
Scott Brooks,OKC,1,2008-2009
Stan Van Gundy,ORL,2,2008-2009
Maurice Cheeks,PHI,4,2008-2009
Tony DiLeo,PHI,1,2008-2009
Terry Porter,PHO,1,2008-2009
Alvin Gentry,PHO,1,2008-2009
Nate McMillan,POR,4,2008-2009
Reggie Theus,SAC,2,2008-2009
Kenny Natt,SAC,1,2008-2009
Gregg Popovich,SAS,13,2008-2009
Sam Mitchell,TOR,5,2008-2009
Jay Triano,TOR,1,2008-2009
Jerry Sloan,UTA,21,2008-2009
Eddie Jordan,WAS,6,2008-2009
Mike Woodson,ATL,6,2008-2009
Doc Rivers,BOS,6,2008-2009
Larry Brown,CHA,2,2008-2009
Vinny Del Negro,CHI,2,2008-2009
Mike Brown,CLE,5,2008-2009
Rick Carlisle,DAL,2,2008-2009
George Karl,DEN,6,2008-2009
John Kuester,DET,1,2008-2009
Don Nelson,GSW,11,2008-2009
Rick Adelman,HOU,3,2008-2009
Jim O'Brien,IND,3,2008-2009
Mike Dunleavy,LAC,7,2008-2009
Kim Hughes,LAC,1,2008-2009
Phil Jackson,LAL,10,2008-2009
Lionel Hollins,MEM,4,2008-2009
Erik Spoelstra,MIA,2,2008-2009
Scott Skiles,MIL,2,2008-2009
Kurt Rambis,MIN,1,2008-2009
Lawrence Frank,NJN,7,2008-2009
Tom Barrise,NJN,1,2008-2009
Kiki Vandeweghe,NJN,1,2008-2009
Byron Scott,NOH,6,2008-2009
Jeff Bower,NOH,1,2008-2009
Mike D'Antoni,NYK,2,2008-2009
Scott Brooks,OKC,2,2008-2009
Stan Van Gundy,ORL,3,2008-2009
Eddie Jordan,PHI,1,2008-2009
Alvin Gentry,PHO,2,2008-2009
Nate McMillan,POR,5,2008-2009
Paul Westphal,SAC,1,2008-2009
Gregg Popovich,SAS,14,2008-2009
Jay Triano,TOR,2,2008-2009
Jerry Sloan,UTA,22,2008-2009
Flip Saunders,WAS,1,2008-2009
Larry Drew,ATL,2,2011-2012
Doc Rivers,BOS,8,2011-2012
Paul Silas,CHA,6,2011-2012
Tom Thibodeau,CHI,2,2011-2012
Byron Scott,CLE,2,2011-2012
Rick Carlisle,DAL,4,2011-2012
George Karl,DEN,8,2011-2012
Lawrence Frank,DET,1,2011-2012
Mark Jackson,GSW,1,2011-2012
Kevin McHale,HOU,1,2011-2012
Frank Vogel,IND,2,2011-2012
Vinny Del Negro,LAC,2,2011-2012
Mike Brown,LAL,1,2011-2012
Lionel Hollins,MEM,6,2011-2012
Erik Spoelstra,MIA,4,2011-2012
Scott Skiles,MIL,4,2011-2012
Rick Adelman,MIN,1,2011-2012
Avery Johnson,NJN,2,2011-2012
Monty Williams,NOH,2,2011-2012
Mike D'Antoni,NYK,4,2011-2012
Mike Woodson,NYK,1,2011-2012
